title,price,rating,oprice,brand
"Talk S with 1.78"" AMOLED Display|Advanced BT Calling|Music Storage with Wireless Audio Connect|100+ Sports Modes|Animated Watchfaces|5 Days Battery|IP68 Water Resistant|Stress & Mood Monitor  ","8,995",4.1,"₹8,995",Titan
"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls  ",449,3.1,₹449,MARVIK
Brand - A Digital Watch Shockproof Multi-Functional Automatic 5 Color Army Strap Waterproof Digital Sport's Watches for Men's Kids Watch for Boys - Watches for Men  ,275,3.8,₹275,Acnos
"Boult Dive+ with 1.85"" HD Display, Bluetooth Calling Smartwatch, 500 Nits Brightness, 7 Days Battery Life, 150+ Watch Faces, 100+ Sport Modes, IP68 Waterproof Smart Watch (Jet Black)  ","1,999",4.1,"₹1,999",Boult Audio
Watches for Men Round Numerical Dial |Analogue Quartz Movemnet Mens Watch|Long Battery Life|Stainless Steel Adjustable Bracelet Black Chain with Long Lasting Polish| Watches for Boys  ,249,4.3,₹249,IIK COLLECTION
"Redmi Watch 2 Lite - 3.94 cm Large HD Edge Display, Multi-System Standalone GPS, Continuous SpO2, Stress & Sleep Monitoring, 24x7 HR, 5ATM, 120+ Watch Faces, 100+ Sports Modes, Women's Health, Blue  ","2,499",3.9,"₹2,499",Redmi
Analog Black Dial Unisex-Adult Watch-9915PP56  ,950,4.1,₹950,Fastrack
"Apple Watch SE (2nd Gen) [GPS 40 mm] Smart Watch w/Midnight Aluminium Case & Midnight Sport Band. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display, Water Resistant  ","29,400",4.6,"₹29,400",Apple
Digital Watch for Men  ,95,2.4,₹95,Generic
Analog Black Dial Men's Watch-NG38022PP03W / NG38022PP03C  ,795,4.4,₹795,Fastrack
Lapster USB all types smartwatch charger cable for boat watch charger & boat xtend watch charger & boat storm watch charger- All 2 Pin Watch (Cable Only)  ,113,3.4,₹113,LS LAPSTER Quality Assured
Unisex Elegant Plane Style Digital Display Waterproof Outdoor Sports Silicone Strap LED Wrist Watch ( black )  ,390,3.3,₹390,FANMIS
New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control  ,"1,694",3.9,"₹1,694",Fastrack
Quartz Movement Analogue Display Multicoloured Dial Men's Watch (Green Dial Green Colored Strap)-Army  ,125,3.3,₹125,RPS FASHION WITH DEVICE OF R
"New LED Watch for Boys, Girls and Kids Digital Black Dial Led Watch for Kids Unisex Birthday Gift Digital Watch  ",100,3.9,₹100,BITZAG
Premium Casual Stylish Watch | Luxury Working Chronograph Watch for Men | Water-Resistant Branded Men's Wrist Watch with Stopwatch & Date Display - Timegrapher Red Leather Watch  ,"1,109",3.0,"₹1,109",Sylvi
Fastrack Reflex Vox 2 Smart Watch with BT Calling Large 1.8 Bright HD Display Music Storage AI Voice 50+ Sports Modes 100+ Watchfaces BP Monitor 24x7 HRM SpO2 Upto 5 Day Battery IP68 (Black)  ,"4,995",3.6,"₹4,995",Fastrack
Brand - A Taymex Digital Watch Shockproof Multi-Functional Automatic Black Strap Waterproof Digital Sports Watch For Men's Kids Watch For Boys - Watch For Men Pack Of 1  ,285,4.0,₹285,Acnos
"CrossBeats Ignite S5 Advanced AI ENC BT Calling Smartwatch, 1.96” Super AMOLED Anti-Glare Screen, Always on Display, Calculator, 500+ Watch Faces, 360 Degree Health Tracking, Fast Charge (Silver)  ","4,999",4.1,"₹4,999",CrossBeats
